iter	Passed	Remaining
890	4573	559
891	4578	554
892	4583	549
893	4587	543
894	4592	538
895	4597	533
896	4602	528
897	4607	523
898	4612	518
899	4617	513
900	4622	507
901	4627	502
902	4632	497
903	4637	492
904	4641	487
905	4646	482
906	4651	476
907	4656	471
908	4661	466
909	4666	461
910	4671	456
911	4676	451
912	4681	446
913	4686	440
914	4690	435
915	4696	430
916	4701	425
917	4706	420
918	4711	415
919	4715	410
920	4720	404
921	4725	399
922	4730	394
923	4735	389
924	4740	384
925	4745	379
926	4749	374
927	4755	368
928	4760	363
929	4765	358
930	4770	353
931	4775	348
932	4780	343
933	4785	338
934	4790	333
935	4795	327
936	4800	322
937	4805	317
938	4810	312
939	4815	307
940	4820	302
941	4825	297
942	4830	291
943	4835	286
944	4840	281
945	4845	276
946	4850	271
947	4855	266
948	4860	261
949	4865	256
950	4870	250
951	4875	245
952	4879	240
953	4884	235
954	4889	230
955	4894	225
956	4899	220
957	4904	215
958	4909	209
959	4914	204
960	4919	199
961	4924	194
962	4929	189
963	4933	184
964	4939	179
965	4944	174
966	4949	168
967	4953	163
968	4958	158
969	4963	153
970	4969	148
971	4974	143
972	4979	138
973	4983	133
974	4988	127
975	4994	122
976	4998	117
977	5004	112
978	5009	107
979	5014	102
980	5019	97
981	5024	92
982	5029	86
983	5035	81
984	5040	76
985	5045	71
986	5050	66
987	5055	61
988	5060	56
989	5065	51
990	5070	46
991	5075	40
992	5080	35
993	5085	30
994	5090	25
995	5095	20
996	5100	15
997	5106	10
998	5111	5
999	5116	0
